gridNo,featNo,weight,grid_x,grid_y,grid_z
23015,3,672.65955,13,21,32
23015,4,250.69208,13,21,32
23015,5,672.6434,13,21,32
23016,0,-583.5421,13,21,33
23016,1,550.8227,13,21,33
23016,3,46.15465,13,21,33
23016,5,46.191654,13,21,33
23017,0,-456.2018,13,21,34
23017,1,-413.2424,13,21,34
23017,4,591.0819,13,21,34
23018,4,-468.4095,13,21,35
23018,5,-386.44507,13,21,35
23019,0,-117.71677,13,21,36
23019,2,-117.73695,13,21,36
23019,4,-470.87207,13,21,36
23054,1,482.54117,13,22,24
23056,3,124.39746,13,22,26
23056,5,124.29929,13,22,26
23059,0,-329.17792,13,22,29
23059,2,-329.08173,13,22,29
23060,1,537.3977,13,22,30
23060,3,329.56635,13,22,30
23060,5,329.51413,13,22,30
23061,0,-400.44003,13,22,31
23061,1,-303.26163,13,22,31
23061,4,-332.9591,13,22,31
23062,0,325.08267,13,22,32
23062,1,505.9929,13,22,32
23062,4,348.4494,13,22,32
23064,0,405.26822,13,22,34
23064,1,498.89178,13,22,34
23064,3,480.99475,13,22,34
23064,5,481.10126,13,22,34
23066,0,-403.60394,13,22,36
23066,1,279.41483,13,22,36
23066,4,-470.89868,13,22,36
23107,0,269.55344,13,23,30
23107,1,269.5571,13,23,30
23108,1,534.05164,13,23,31
23109,1,410.24332,13,23,32
23109,3,348.40338,13,23,32
23109,5,348.45013,13,23,32
23113,3,-381.65936,13,23,36
23113,4,-242.32721,13,23,36
23152,1,151.42058,13,24,28
23155,1,325.15494,13,24,31
23158,4,-323.94638,13,24,34
23160,3,-242.28458,13,24,36
23160,5,-242.2676,13,24,36
24187,1,532.4796,14,10,29
24233,0,439.7865,14,11,28
24235,3,440.86163,14,11,30
24235,5,440.75427,14,11,30
24277,4,116.431404,14,12,25
24279,0,7.271329,14,12,27
24279,4,-130.87706,14,12,27
24285,0,-383.83932,14,12,33
24285,1,-383.90155,14,12,33
24325,0,-5.1370955,14,13,26
24325,4,-129.49684,14,13,26
24325,5,265.12448,14,13,26
24328,0,-95.840576,14,13,29
24328,1,153.37343,14,13,29
24328,3,400.60947,14,13,29
24328,5,400.5538,14,13,29
24329,1,-268.82233,14,13,30
24330,1,395.73425,14,13,31
24330,3,434.15225,14,13,31
24330,5,433.99344,14,13,31
24334,4,305.7311,14,13,35
24335,1,290.64856,14,13,36
24368,4,286.64948,14,14,22
24374,0,478.07947,14,14,28
24374,1,458.7067,14,14,28
24374,3,478.14728,14,14,28
24374,4,400.59933,14,14,28
24374,5,478.15216,14,14,28
24375,1,-276.22305,14,14,29
24375,4,-325.01355,14,14,29
24376,0,125.84521,14,14,30
24376,1,-352.45148,14,14,30
24376,3,170.52899,14,14,30
24376,4,410.23566,14,14,30
24376,5,170.60992,14,14,30
24377,4,468.3007,14,14,31
24378,1,414.2014,14,14,32
24378,4,468.21103,14,14,32
24379,4,124.05635,14,14,33
24421,1,343.5827,14,15,28
24421,3,325.28165,14,15,28
24421,4,-220.91272,14,15,28
24421,5,325.2326,14,15,28
24422,0,-258.88754,14,15,29
24422,1,384.03137,14,15,29
24423,0,-150.99666,14,15,30
24423,1,579.49176,14,15,30
24423,2,-151.11328,14,15,30
24423,3,751.043,14,15,30
24423,4,361.86588,14,15,30
24423,5,750.94885,14,15,30
24424,0,385.9533,14,15,31
24424,1,573.822,14,15,31
24424,3,385.19183,14,15,31
24425,1,-26.45471,14,15,32
24425,3,49.41271,14,15,32
24425,4,-140.03148,14,15,32
24425,5,246.46005,14,15,32
24426,1,631.49945,14,15,33
24426,2,81.62242,14,15,33
24426,3,659.1215,14,15,33
24426,5,637.8022,14,15,33
24428,3,244.9119,14,15,35
24428,4,-383.86346,14,15,35
24428,5,244.82901,14,15,35
24429,1,304.789,14,15,36
24466,1,468.96823,14,16,26
24466,3,437.2707,14,16,26
24466,5,441.2721,14,16,26
24467,0,-60.275627,14,16,27
24467,1,561.4858,14,16,27
24467,2,37.77777,14,16,27
24467,3,305.11664,14,16,27
24467,4,23.26127,14,16,27
24467,5,305.09888,14,16,27
24468,0,368.85226,14,16,28
24468,1,408.63885,14,16,28
24468,2,329.57712,14,16,28
24468,3,377.01437,14,16,28
24468,4,99.664444,14,16,28
24468,5,376.86746,14,16,28
24469,0,385.14062,14,16,29
24469,1,509.11945,14,16,29
24469,3,305.46494,14,16,29
24469,4,591.0358,14,16,29
24469,5,493.6318,14,16,29
24470,1,-479.69595,14,16,30
24470,3,209.8086,14,16,30
24470,4,33.288773,14,16,30
24470,5,209.92206,14,16,30
24471,1,-584.20844,14,16,31
24471,3,373.34647,14,16,31
24471,4,229.48282,14,16,31
24471,5,373.2592,14,16,31
24472,1,538.6099,14,16,32
24472,3,-138.61946,14,16,32
24472,4,246.53745,14,16,32
